2025-09-19 02:55:08.450277 - MPU: x=1, y=-2, z=0 - Pulgar=0, Indice=12869, Mayor=5456, Anulaar=12282, Meñique=1293
2025-09-19 02:55:08.551728 - MPU: x=-3, y=0, z=0 - Pulgar=0, Indice=12742, Mayor=5434, Anulaar=12237, Meñique=1293
2025-09-19 02:55:08.651196 - MPU: x=0, y=-1, z=1 - Pulgar=0, Indice=12711, Mayor=5434, Anulaar=12222, Meñique=1293
2025-09-19 02:55:08.748810 - MPU: x=-1, y=0, z=-2 - Pulgar=0, Indice=12618, Mayor=5427, Anulaar=0, Meñique=1293
2025-09-19 02:55:08.849159 - MPU: x=-1, y=1, z=0 - Pulgar=0, Indice=12571, Mayor=5427, Anulaar=0, Meñique=1293
2025-09-19 02:55:08.987462 - MPU: x=-2, y=2, z=-1 - Pulgar=0, Indice=12602, Mayor=5434, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.052731 - MPU: x=0, y=-2, z=-1 - Pulgar=0, Indice=12996, Mayor=5434, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.149298 - MPU: x=-1, y=-1, z=-1 - Pulgar=0, Indice=12587, Mayor=5434, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.250629 - MPU: x=-1, y=2, z=-4 - Pulgar=0, Indice=12525, Mayor=5413, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.351700 - MPU: x=-2, y=-2, z=0 - Pulgar=0, Indice=12525, Mayor=5406, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.448895 - MPU: x=-1, y=-1, z=1 - Pulgar=0, Indice=12494, Mayor=5413, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.553082 - MPU: x=-1, y=1, z=1 - Pulgar=0, Indice=12510, Mayor=5413, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.673917 - MPU: x=-1, y=-1, z=-1 - Pulgar=0, Indice=12571, Mayor=5434, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.749469 - MPU: x=-1, y=0, z=0 - Pulgar=0, Indice=12479, Mayor=5413, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.857549 - MPU: x=-1, y=-2, z=2 - Pulgar=0, Indice=12556, Mayor=5434, Anulaar=0, Meñique=1293
2025-09-19 02:55:09.951815 - MPU: x=-2, y=-1, z=-1 - Pulgar=0, Indice=12525, Mayor=5427, Anulaar=0, Meñique=1293
2025-09-19 02:55:10.048942 - MPU: x=-2, y=2, z=-3 - Pulgar=0, Indice=12464, Mayor=5413, Anulaar=0, Meñique=1293
2025-09-19 02:55:10.171588 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=12510, Mayor=5434, Anulaar=0, Meñique=1293
2025-09-19 02:55:10.262282 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=12448, Mayor=5406, Anulaar=0, Meñique=1293
2025-09-19 02:55:10.394944 - MPU: x=0, y=-2, z=0 - Pulgar=0, Indice=12494, Mayor=5427, Anulaar=0, Meñique=1293
2025-09-19 02:55:10.476725 - MPU: x=-1, y=-1, z=-1 - Pulgar=0, Indice=12525, Mayor=5434, Anulaar=0, Meñique=1293
2025-09-19 02:55:10.718721 - MPU: x=-1, y=0, z=0 - Pulgar=0, Indice=12479, Mayor=5957, Anulaar=0, Meñique=1293
2025-09-19 02:55:10.754263 - MPU: x=-1, y=-2, z=-1 - Pulgar=0, Indice=12494, Mayor=5427, Anulaar=0, Meñique=1293
2025-09-19 02:55:10.783303 - MPU: x=-1, y=-1, z=1 - Pulgar=0, Indice=12494, Mayor=5413, Anulaar=0, Meñique=1293
